ERR4682819	Greece	Thessaloniki	2018-07-13
ERR4682820	Portugal	Porto	2018-07-02
ERR4682821	India	Kochi	2018-07-04
ERR4682822	Slovakia	Bratislava	2018-07-03
ERR4682823	Poland	Pulawy	2018-07-09
ERR4682824	Netherlands	Utrecht	2018-07-02
ERR4682825	Taiwan	Taipei	2018-07-09
ERR4682826	Italy	Rome	2018-06-26
ERR4682827	China	Nanjing	2018-06-21
ERR4682828	China	Yangzhou	2018-06-22
ERR4682829	Switzerland	Bern	2018-06-28
ERR4682830	Canada	Calgary	2018-06-26
ERR4682831	Canada	Regina	2018-07-10
ERR4682832	Kuwait	Kuwait	2018-07-07
ERR4682833	Morocco	Casablanca	2018-06-29
ERR4682834	Brazil	Belo Horizonte	2018-07-09
ERR4682835	Barbados	Worthing	2018-07-05
ERR4682836	Barbados	Bridgetown	2018-07-05
ERR4682837	India	Udupi	2018-06-18
ERR4682838	Ecuador	Quito	2018-06-28
ERR4682839	Cote d'Ivoire	Abidjan	2018-07-07
ERR4682840	Cote d'Ivoire	Yamoussoukro	2018-07-07
ERR4682841	Cote d'Ivoire	Bouake	2018-07-06
ERR4682842	Canada	Ottawa	2018-07-09
ERR4682843	Canada	Vancouver	2018-07-13
ERR4682844	Argentina	Buenos Aires	2018-07-10
ERR4682845	Uganda	Kampala	2018-07-18
ERR4682846	Nigeria	Lagos	2018-07-03
ERR4682847	Malaysia	Butterworth	2018-06-27
ERR4682848	Malaysia	Jelutong	2018-06-27
ERR4682849	Malaysia	Sungai Petani	2018-07-06
ERR4682850	Malaysia	Kuala Lumpur	2018-06-29
ERR4682851	Malaysia	Ipoh	2018-06-28
ERR4682852	Malaysia	Klang	2018-06-29
ERR4682853	New Zealand	Christchurch	2018-07-04
ERR4682854	Latvia	Riga	2018-06-20
ERR4682855	Latvia	Liepaja	2018-06-21
ERR4682856	United Kingdom	Edinburgh	2018-06-27
ERR4682857	Cote d'Ivoire	Yamoussoukro	2018-07-07
ERR4682858	Cote d'Ivoire	Bouake	2018-07-06
ERR4682859	Chile	Santiago	2018-08-14
ERR4682860	Chile	Santiago	2018-08-14
ERR4682861	Finland	Turku	2018-06-27
ERR4682862	Finland	Helsinki	2018-06-20
ERR4682863	Finland	Oulu	2018-06-20
ERR4682864	Norway	Oslo	2018-07-18
ERR4682865	Greenland	Sisimiut	2018-06-26
ERR4682866	Israel	Beer-Sheva	2018-07-07
ERR4682867	Benin	Djeffa	2018-08-22
ERR4682868	United Kingdom	Newcastle Upon Tyne	2018-06-28
ERR4682869	Bangladesh	Dhaka	2018-07-03
ERR4682870	Kenya	Nairobi	2018-06-29
ERR4682871	USA	Seattle, WA	2018-06-21
ERR4682872	USA	Seattle, WA	2018-06-20
ERR4682873	Saint Lucia	Castries	2018
ERR4682874	Saint Lucia	Gros Islet	2018
ERR4682875	North Macedonia	Skopje	2018
ERR4682876	North Macedonia	Skopje	2018
ERR4682877	Australia	Melbourne	2018-06-19
ERR4682878	Australia	Darwin	2018-07-10
ERR4682879	Australia	Maningrida	2018-07-10
ERR4682880	Cameroon	Yaounde	2018-06-20
ERR4682881	Paraguay	San Lorenzo	2018-06-28
ERR4682882	Germany	Berlin	2018-07-04
ERR4682883	USA	Chapel Hill	2018-09-12
ERR4682884	Madagascar	Antananarivo	2018-06-27
ERR4682885	Madagascar	Antananarivo	2018-06-28
ERR4682886	Singapore	Jurong	2018-06-20
ERR4682887	Colombia	Bogota	2018-09-17
ERR4682888	Madagascar	Antananarivo	2018-09-24
ERR4682889	Thailand	Pathum Thani	2018-09-10
ERR4682890	Pakistan	Karachi	2018-06-20
ERR4682891	Brazil	Rio de Janeiro	2018-09-17
ERR4682892	Brazil	Rio de Janeiro	2018
ERR4682893	USA	Atlanta, GA	2018-09-27
ERR4682894	USA	Waco	2018-06-21
ERR4682895	United Arab Emirates	Dubai	2018-06-27
ERR4682896	Viet Nam	Ho Chi Minh	2018
ERR4682897	Senegal	Dakar	2018
ERR4682898	China	Guangzhou	2018-06-05
ERR4682899	New Zealand	Dunedin	2018-10-16
ERR4682900	Tanzania	Moshi	2018-08-03
ERR4682901	Denmark	Lyngby	2018-09-05
ERR4682902	Denmark	Lyngby	2018-09-12
ERR4682903	Denmark	Lyngby	2018-09-18
ERR4682904	Denmark	Lyngby	2018-09-19
ERR4682905	Denmark	Lyngby	2018-10-02
ERR4682906	Denmark	Lyngby	2018-10-10
ERR4682907	Denmark	Lyngby	2018-10-12
ERR4682908	Denmark	Lyngby	2018-11-07
ERR4682909	Denmark	Lyngby	2018-11-21
ERR4682910	Ghana	Accra	2018-07-16
ERR4682911	Ghana	Accra	2018-07-16
ERR4682912	Ghana	Accra	2018-07-16
ERR4682913	Denmark	Lyngby	2018-10-03
